label,FRAC_SIG,MISSING_RATE,tp,fn,fp,tn,avg_mag_error,num_sign_error,n_sig,n_true,N_SIM,N_SAMPLE,avg_mag_error_obs,fdr,tpr,fpr,ppv,f1
bayes,0.4,0.01,1538,662,109,3091,0.9167075772660671,0,1647,2200,20100,20000,200,0.06618093503339405,0.6990909090909091,0.0340625,0.9338190649666059,0.399792045749935
bayes,0.4,0.05,1548,652,110,3090,0.9364767644577009,0,1658,2200,20100,20000,200,0.06634499396863691,0.7036363636363636,0.034375,0.9336550060313631,0.401244167962675
bayes,0.4,0.1,1552,637,128,3056,0.9695507012086332,0,1680,2189,20038,19900,199,0.0761904761904762,0.7089995431703975,0.04020100502512563,0.9238095238095239,0.4011372447660895
bayes,0.4,0.15,1574,626,129,3071,0.991464137494568,0,1703,2200,20100,20000,200,0.07574867880211392,0.7154545454545455,0.0403125,0.9242513211978861,0.40327952856776833
bayes,0.4,0.2,1579,610,147,3037,1.0161527937897619,0,1726,2189,19952,19900,199,0.08516801853997683,0.7213339424394701,0.04616834170854271,0.9148319814600232,0.40332056194125165
bayes,0.4,0.25,1602,598,167,3033,1.0458524837118555,0,1769,2200,20100,20000,200,0.09440361786319955,0.7281818181818182,0.0521875,0.9055963821368005,0.4036281179138322
bayes,0.4,0.3,1600,589,180,3004,1.0713127343113036,0,1780,2189,20069,19900,199,0.10112359550561797,0.7309273640931933,0.056532663316582916,0.898876404494382,0.4031242126480222
bh,0.4,0.01,1407,793,60,3140,1.1519646145837579,0,1467,2200,20100,20000,200,0.0408997955010225,0.6395454545454545,0.01875,0.9591002044989775,0.38369239160076357
bh,0.4,0.05,1443,757,69,3131,1.2115387893051266,0,1512,2200,20100,20000,200,0.04563492063492063,0.6559090909090909,0.0215625,0.9543650793650794,0.38873922413793105
bh,0.4,0.1,1473,716,91,3093,1.301655083135211,0,1564,2189,20038,19900,199,0.058184143222506396,0.672910004568296,0.02858040201005025,0.9418158567774936,0.39248601119104715
bh,0.4,0.15,1504,696,94,3106,1.3931752175577596,0,1598,2200,20100,20000,200,0.058823529411764705,0.6836363636363636,0.029375,0.9411764705882353,0.39599789362822535
bh,0.4,0.2,1519,670,111,3073,1.4723589624200173,0,1630,2189,19952,19900,199,0.06809815950920245,0.6939241662859753,0.03486180904522613,0.9319018404907975,0.39774810159727675
bh,0.4,0.25,1543,657,138,3062,1.54429694582977,0,1681,2200,20100,20000,200,0.08209399167162404,0.7013636363636364,0.043125,0.917906008328376,0.3975779438289101
bh,0.4,0.3,1554,635,154,3030,1.6312803538065808,0,1708,2189,20069,19900,199,0.09016393442622951,0.7099132023755139,0.04836683417085427,0.9098360655737705,0.3987682832948422
bon,0.4,0.01,1060,1140,4,3196,1.1754360968943607,0,1064,2200,20100,20000,200,0.0037593984962406013,0.4818181818181818,0.00125,0.9962406015037594,0.32475490196078427
bon,0.4,0.05,1093,1107,6,3194,1.2327617286407142,0,1099,2200,20100,20000,200,0.00545950864422202,0.4968181818181818,0.001875,0.9945404913557779,0.3313125189451349
bon,0.4,0.1,1116,1073,10,3174,1.3181489301371505,0,1126,2189,20038,19900,199,0.008880994671403197,0.5098218364550022,0.00314070351758794,0.9911190053285968,0.3366515837104072
bon,0.4,0.15,1153,1047,11,3189,1.406385067841896,0,1164,2200,20100,20000,200,0.009450171821305841,0.524090909090909,0.0034375,0.9905498281786942,0.34274673008323425
bon,0.4,0.2,1159,1030,16,3168,1.4855464458734187,0,1175,2189,19952,19900,199,0.013617021276595745,0.5294655093650068,0.005025125628140704,0.9863829787234043,0.3445303210463733
bon,0.4,0.25,1173,1027,21,3179,1.5558542140508793,0,1194,2200,20100,20000,200,0.017587939698492462,0.5331818181818182,0.0065625,0.9824120603015075,0.3456098998232175
bon,0.4,0.3,1176,1013,26,3158,1.6345120858616173,0,1202,2189,20069,19900,199,0.021630615640599003,0.53723161260849706,0.008165829145728644,0.978369384359401,0.34680035387791214
raw,0.4,0.01,1679,521,175,3025,1.1444088838932374,0,1854,2200,20100,20000,200,0.09439050701186623,0.7631818181818182,0.0546875,0.9056094929881338,0.414158855451406
raw,0.4,0.05,1707,493,183,3017,1.2039863595495865,0,1890,2200,20100,20000,200,0.09682539682539683,0.7759090909090909,0.0571875,0.9031746031746032,0.41735941320293396
raw,0.4,0.1,1735,454,209,2975,1.2949283718889026,0,1944,2189,20038,19900,199,0.10751028806584362,0.7925993604385564,0.06564070351758794,0.8924897119341564,0.41979191870312127
raw,0.4,0.15,1749,451,212,2988,1.3841977269981856,0,1961,2200,20100,20000,200,0.10810810810810811,0.795,0.06625,0.8918918918918919,0.42033165104542175
raw,0.4,0.2,1752,437,238,2946,1.4645644192547225,0,1990,2189,19952,19900,199,0.11959798994974874,0.8003654636820466,0.07474874371859297,0.8804020100502512,0.41923905240488163
raw,0.4,0.25,1766,434,263,2937,1.5476203652765113,0,2029,2200,20100,20000,200,0.12962050271069492,0.8027272727272727,0.0821875,0.8703794972893051,0.41759281153937106
raw,0.4,0.3,1765,424,311,2873,1.6330965218287,0,2076,2189,20069,19900,199,0.1498073217726397,0.8063042485153038,0.09767587939698492,0.8501926782273603,0.41383352872215706
